key_id,key,operation,pX,pY,LR,state,delta,time_diff,time_since_beginning,press_to_press,release_to_press,hold_time
1,u,1,0,0,0,1,0,0,0,0,0,93
2,s,1,0,0,0,1,0,0,0,0,0,174
3,r,1,0,0,0,1,0,0,0,0,0,101
4,1,1,0,0,0,1,0,0,0,0,0,124
5,p,1,0,0,0,1,0,0,0,0,0,99
6,a,1,0,0,0,1,0,0,0,0,0,100
7,s,1,0,0,0,1,0,0,0,0,0,75
8,s,1,0,0,0,1,0,0,0,0,0,74
9,w,1,0,0,0,1,0,0,0,0,0,101
10,o,1,0,0,0,1,0,0,0,0,0,100
11,r,1,0,0,0,1,0,0,0,0,0,84
12,d,1,0,0,0,1,0,0,0,0,0,108
13,1,1,0,0,0,1,0,0,0,0,0,108
14,2,1,0,0,0,1,0,0,0,0,0,92
15,3,1,0,0,0,1,0,0,0,0,0,100
1,u,1,0,0,0,1,0,0,0,0,0,103
2,s,1,0,0,0,1,0,0,0,0,0,144
3,e,1,0,0,0,1,0,0,0,0,0,124
